Data below is obtained from fasta file:  "/Users/Mana/Desktop/Demo Files/Name Extractor/Sequences_demo.fasta"
Total number of sequences present in fasta file:  677
Number of unique descriptions present among them:  422

### Following are the unique descriptions extracted: ###

 Description, Count
potassium-transporting ATPase subunit C [Pectobacterium carotovorum].,1
potassium transporter [[Clostridium] sticklandii].,1
potassium transporter [Thermomicrobium roseum].,1
potassium transporter [Syntrophomonas wolfei].,1
potassium transporter [Saccharomonospora viridis].,1
potassium transporter [Prosthecochloris aestuarii].,1
potassium transporter [Propionibacterium propionicum].,1
potassium transporter [Prevotella ruminicola].,1
potassium transporter [Planctomyces brasiliensis].,1
potassium transporter [Pelodictyon luteolum].,1
potassium transporter [Myxococcus xanthus].,1
potassium transporter [Myxococcus fulvus].,1
potassium transporter [Moorella thermoacetica].,1
potassium transporter [Methylomonas methanica].,1
potassium transporter [Methylococcus capsulatus].,1
potassium transporter [Marinilabilia salmonicolor].,1
potassium transporter [Leptospira biflexa].,1
potassium transporter [Isosphaera pallida].,1
potassium transporter [Geodermatophilus obscurus].,1
potassium transporter [Frankia alni].,1
potassium transporter [Dictyoglomus thermophilum].,1
potassium transporter [Clostridium tetani].,1
potassium transporter [Chlorobium phaeovibrioides].,1
potassium transporter [Chlorobaculum tepidum].,1
potassium transporter [Bdellovibrio bacteriovorus].,1
potassium transporter [Bacteroides fragilis].,1
membrane-bound proton-translocating pyrophosphatase_$ partial [Plesiomonas shigelloides].,1
membrane-bound proton-translocating pyrophosphatase [Sorangium cellulosum].,1
membrane-bound proton-translocating pyrophosphatase [Sinorhizobium fredii NGR234].,1
membrane-bound proton-translocating pyrophosphatase [Pedobacter heparinus].,1
membrane-bound proton-translocating pyrophosphatase [Flavobacterium johnsoniae].,1
membrane-bound proton-translocating pyrophosphatase [Capnocytophaga ochracea].,1
membrane-bound proton-translocating pyrophosphatase [Agrobacterium tumefaciens].,1
manganese-dependent inorganic pyrophosphatase_$ partial [Clostridium botulinum].,1
manganese-dependent inorganic pyrophosphatase [Vibrio mimicus].,1
manganese-dependent inorganic pyrophosphatase [Vibrio campbellii].,1
manganese-dependent inorganic pyrophosphatase [Streptococcus thermophilus].,1
manganese-dependent inorganic pyrophosphatase [Streptococcus sobrinus].,1
manganese-dependent inorganic pyrophosphatase [Plesiomonas shigelloides].,1
manganese-dependent inorganic pyrophosphatase [Pediococcus pentosaceus].,1
manganese-dependent inorganic pyrophosphatase [Lactobacillus sakei].,1
manganese-dependent inorganic pyrophosphatase [Lactobacillus delbrueckii].,1
manganese-dependent inorganic pyrophosphatase [Fusobacterium nucleatum].,1
manganese-dependent inorganic pyrophosphatase [Desulfovibrio vulgaris str. Hildenborough].,1
manganese-dependent inorganic pyrophosphatase [Desulfovibrio vulgaris str. 'Miyazaki F'].,1
manganese-dependent inorganic pyrophosphatase [Clostridium pasteurianum].,1
inorganic pyrophosphatase_$ partial [Klebsiella pneumoniae].,1
inorganic pyrophosphatase_$ partial [Escherichia coli].,1
inorganic pyrophosphatase_$ partial [Clostridium botulinum].,1
inorganic pyrophosphatase [Xenorhabdus nematophila].,1
inorganic pyrophosphatase [Xanthomonas translucens].,1
inorganic pyrophosphatase [Xanthobacter autotrophicus].,1
inorganic pyrophosphatase [Wolinella succinogenes].,1
inorganic pyrophosphatase [Weeksella virosa].,1
inorganic pyrophosphatase [Vitreoscilla stercoraria].,1
inorganic pyrophosphatase [Vibrio gazogenes].,1
inorganic pyrophosphatase [Vibrio cholerae].,1
inorganic pyrophosphatase [Trichormus azollae].,1
inorganic pyrophosphatase [Trichodesmium erythraeum].,1
inorganic pyrophosphatase [Thiobacillus thioparus].,1
inorganic pyrophosphatase [Thermus thermophilus].,1
inorganic pyrophosphatase [Thermomicrobium roseum].,1
inorganic pyrophosphatase [Thermoanaerobacterium thermosaccharolyticum].,1
inorganic pyrophosphatase [Streptococcus sanguinis].,1
inorganic pyrophosphatase [Stigmatella aurantiaca].,1
inorganic pyrophosphatase [Starkeya novella].,1
inorganic pyrophosphatase [Spirosoma linguale].,1
inorganic pyrophosphatase [Sorangium cellulosum].,1
inorganic pyrophosphatase [Sinorhizobium meliloti].,1
inorganic pyrophosphatase [Sinorhizobium fredii NGR234].,1
inorganic pyrophosphatase [Serratia marcescens].,1
inorganic pyrophosphatase [Saprospira grandis].,1
inorganic pyrophosphatase [Saccharomonospora viridis].,1
inorganic pyrophosphatase [Ruminococcus albus].,1
inorganic pyrophosphatase [Rickettsia typhi].,1
inorganic pyrophosphatase [Rickettsia australis].,1
inorganic pyrophosphatase [Rickettsia akari].,1
inorganic pyrophosphatase [Rhodospirillum rubrum].,1
inorganic pyrophosphatase [Rhodospirillum photometricum].,1
inorganic pyrophosphatase [Rhodomicrobium vannielii].,1
inorganic pyrophosphatase [Rhodobacter capsulatus].,1
inorganic pyrophosphatase [Renibacterium salmoninarum].,1
inorganic pyrophosphatase [Ralstonia pickettii].,1
inorganic pyrophosphatase [Pseudoalteromonas haloplanktis].,1
inorganic pyrophosphatase [Prosthecochloris aestuarii].,1
inorganic pyrophosphatase [Propionibacterium propionicum].,1
inorganic pyrophosphatase [Planctomyces brasiliensis].,1
inorganic pyrophosphatase [Piscirickettsia salmonis].,1
inorganic pyrophosphatase [Pirellula staleyi].,1
inorganic pyrophosphatase [Pelodictyon luteolum].,1
inorganic pyrophosphatase [Pedobacter heparinus].,1
inorganic pyrophosphatase [Pectobacterium carotovorum].,1
inorganic pyrophosphatase [Paracoccus denitrificans].,1
inorganic pyrophosphatase [Orientia tsutsugamushi].,1
inorganic pyrophosphatase [Nitrosospira multiformis].,1
inorganic pyrophosphatase [Nitrosococcus oceani].,1
inorganic pyrophosphatase [Nitrobacter winogradskyi].,1
inorganic pyrophosphatase [Nitrobacter hamburgensis].,1
inorganic pyrophosphatase [Neorickettsia sennetsu].,1
inorganic pyrophosphatase [Neorickettsia risticii].,1
inorganic pyrophosphatase [Neisseria sicca].,1
inorganic pyrophosphatase [Neisseria lactamica].,1
inorganic pyrophosphatase [Myxococcus fulvus].,1
inorganic pyrophosphatase [Mycobacterium leprae].,1
inorganic pyrophosphatase [Mycobacterium gilvum].,1
inorganic pyrophosphatase [Moraxella catarrhalis].,1
inorganic pyrophosphatase [Methylophilus methylotrophus].,1
inorganic pyrophosphatase [Methylomonas methanica].,1
inorganic pyrophosphatase [Methylobacterium extorquens].,1
inorganic pyrophosphatase [Methylobacillus flagellatus].,1
inorganic pyrophosphatase [Mesorhizobium loti].,1
inorganic pyrophosphatase [Meiothermus ruber].,1
inorganic pyrophosphatase [Marivirga tractuosa].,1
inorganic pyrophosphatase [Marinilabilia salmonicolor].,1
inorganic pyrophosphatase [Leptospira biflexa].,1
inorganic pyrophosphatase [Legionella pneumophila].,1
inorganic pyrophosphatase [Lactococcus lactis].,1
inorganic pyrophosphatase [Kytococcus sedentarius].,1
inorganic pyrophosphatase [Isosphaera pallida].,1
inorganic pyrophosphatase [Helicobacter mustelae].,1
inorganic pyrophosphatase [Helicobacter felis].,1
inorganic pyrophosphatase [Helicobacter cinaedi].,1
inorganic pyrophosphatase [Helicobacter acinonychis].,1
inorganic pyrophosphatase [Halothiobacillus neapolitanus].,1
inorganic pyrophosphatase [Halorhodospira halophila].,1
inorganic pyrophosphatase [Haemophilus parasuis].,1
inorganic pyrophosphatase [Haemophilus ducreyi].,1
inorganic pyrophosphatase [Gluconobacter oxydans].,1
inorganic pyrophosphatase [Gallibacterium anatis].,1
inorganic pyrophosphatase [Frankia alni].,1
inorganic pyrophosphatase [Francisella tularensis].,1
inorganic pyrophosphatase [Francisella novicida].,1
inorganic pyrophosphatase [Fluoribacter dumoffii].,1
inorganic pyrophosphatase [Flavobacterium johnsoniae].,1
inorganic pyrophosphatase [Erwinia amylovora].,1
inorganic pyrophosphatase [Enterobacter cloacae].,1
inorganic pyrophosphatase [Enterobacter aerogenes].,1
inorganic pyrophosphatase [Elizabethkingia meningoseptica].,1
inorganic pyrophosphatase [Ehrlichia ruminantium].,1
inorganic pyrophosphatase [Ehrlichia canis].,1
inorganic pyrophosphatase [Dichelobacter nodosus].,1
inorganic pyrophosphatase [Desulfovibrio salexigens].,1
inorganic pyrophosphatase [Desulfovibrio desulfuricans].,1
inorganic pyrophosphatase [Desulfomicrobium baculatum].,1
inorganic pyrophosphatase [Cytophaga hutchinsonii].,1
inorganic pyrophosphatase [Coxiella burnetii].,1
inorganic pyrophosphatase [Corynebacterium variabile].,1
inorganic pyrophosphatase [Corynebacterium glutamicum].,1
inorganic pyrophosphatase [Corynebacterium diphtheriae].,1
inorganic pyrophosphatase [Clostridium tetani].,1
inorganic pyrophosphatase [Clostridium sporogenes].,1
inorganic pyrophosphatase [Clostridium perfringens].,1
inorganic pyrophosphatase [Clostridium ljungdahlii].,1
inorganic pyrophosphatase [Clostridium kluyveri].,1
inorganic pyrophosphatase [Clostridium beijerinckii].,1
inorganic pyrophosphatase [Clostridium acidurici].,1
inorganic pyrophosphatase [Chromobacterium violaceum].,1
inorganic pyrophosphatase [Chlorobium phaeovibrioides].,1
inorganic pyrophosphatase [Chlorobium limicola].,1
inorganic pyrophosphatase [Cellulophaga lytica].,1
inorganic pyrophosphatase [Cellulomonas flavigena].,1
inorganic pyrophosphatase [Cellulomonas fimi].,1
inorganic pyrophosphatase [Campylobacter lari].,1
inorganic pyrophosphatase [Campylobacter jejuni].,1
inorganic pyrophosphatase [Campylobacter curvus].,1
inorganic pyrophosphatase [Campylobacter concisus].,1
inorganic pyrophosphatase [Burkholderia cepacia].,1
inorganic pyrophosphatase [Bordetella pertussis].,1
inorganic pyrophosphatase [Bordetella avium].,1
inorganic pyrophosphatase [Bifidobacterium asteroides].,1
inorganic pyrophosphatase [Beijerinckia indica].,1
inorganic pyrophosphatase [Bartonella quintana].,1
inorganic pyrophosphatase [Bartonella bacilliformis].,1
inorganic pyrophosphatase [Bacillus amyloliquefaciens].,1
inorganic pyrophosphatase [Azospirillum lipoferum].,1
inorganic pyrophosphatase [Avibacterium paragallinarum].,1
inorganic pyrophosphatase [Atopobium parvulum].,1
inorganic pyrophosphatase [Aquaspirillum serpens].,1
inorganic pyrophosphatase [Anaplasma phagocytophilum].,1
inorganic pyrophosphatase [Anaplasma centrale].,1
inorganic pyrophosphatase [Anabaena variabilis].,1
inorganic pyrophosphatase [Allochromatium vinosum].,1
inorganic pyrophosphatase [Agrobacterium tumefaciens].,1
inorganic pyrophosphatase [Aeromonas salmonicida].,1
inorganic pyrophosphatase [Aeromonas hydrophila].,1
inorganic pyrophosphatase [Acidithiobacillus ferrooxidans].,1
inorganic pyrophosphatase PpaC [Staphylococcus aureus].,1
inorganic pyrophosphatase PpaC [Bacillus licheniformis].,1
inorganic pyrophosphatase Ppa [[Clostridium] stercorarium].,1
inorganic pyrophosphatase (PPase) [Cytophaga hutchinsonii].,1
inorganic diphosphatase [Xanthomonas translucens].,1
inorganic diphosphatase [Treponema succinifaciens].,1
inorganic diphosphatase [Synechococcus elongatus PCC 7942].,1
inorganic diphosphatase [Leptospira interrogans].,1
inorganic diphosphatase [Leptospira borgpetersenii].,1
inorganic diphosphatase [Acinetobacter baumannii].,1
inorganic diphosphatase [Acidaminococcus fermentans].,1
V-type H(+)-translocating pyrophosphatase [Spirosoma linguale].,1
V-type H(+)-translocating pyrophosphatase [Pirellula staleyi].,1
V-type H(+)-translocating pyrophosphatase [Clostridium butyricum].,1
Pyrophosphate-energized proton pump (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase) (Membrane-bound proton-translocating pyrophosphatase) [[Clostridium] sticklandii].,1
Probable manganese-dependent inorganic pyrophosphatase [Listeria monocytogenes].,1
MutT/NUDIX family hydrolase /pyrophosphatase [Bdellovibrio bacteriovorus].,1
Manganese-dependent inorganic pyrophosphatase [Streptococcus agalactiae].,1
Manganese-dependent inorganic pyrophosphatase [Erwinia amylovora].,1
Manganese-dependent inorganic pyrophosphatase [Bacillus subtilis].,1
MULTISPECIES: vacuolar-type H(+)-translocating pyrophosphatase [Bacteroides].,1
MULTISPECIES: soluble inorganic pyrophosphatase 2 [Chlamydia].,1
MULTISPECIES: pyrophosphatase [Staphylococcus].,1
MULTISPECIES: pyrophosphatase [Methylophilus].,1
MULTISPECIES: pyrophosphatase [Leuconostoc].,1
MULTISPECIES: pyrophosphatase [Lactobacillus].,1
MULTISPECIES: pyrophosphatase [Enterococcus].,1
MULTISPECIES: pyrophosphatase [Clostridium].,1
MULTISPECIES: pyrophosphatase [Brucella].,1
MULTISPECIES: pyrophosphatase [Bacillus].,1
MULTISPECIES: potassium-transporting ATPase subunit C [Klebsiella].,1
MULTISPECIES: potassium transporter [Micromonospora].,1
MULTISPECIES: potassium transporter [Frankia].,1
MULTISPECIES: potassium transporter [Chloroflexus].,1
MULTISPECIES: inorganic pyrophosphatase [Xanthomonas].,1
MULTISPECIES: inorganic pyrophosphatase [Thermoanaerobacter].,1
MULTISPECIES: inorganic pyrophosphatase [Streptomyces].,1
MULTISPECIES: inorganic pyrophosphatase [Serratia].,1
MULTISPECIES: inorganic pyrophosphatase [Rhizobium].,1
MULTISPECIES: inorganic pyrophosphatase [Mycobacterium].,1
MULTISPECIES: inorganic pyrophosphatase [Micromonospora].,1
